id,trade_px,trade_volume,b1,b2,b3,b4,b5,a1,a2,a3,a4,a5,bq1,bq2,bq3,bq4,bq5,aq1,aq2,aq3,aq4,aq5,order_date_time,trades_date_time,update_type
82,1191.3,0.23,1191.29,1190.7,1190.42,1190.24,1190.11,1191.3,1192.3,1193.5,1193.69,1195,2.06958,1.105,1.2,1.03547,1.2,0.885,1.8,1.98,4.86,1.97,2017-04-07D00:12:38.102928000,2017-04-07D00:11:38.784439000,1
83,1191.3,0.23,1191.29,1190.7,1190.42,1190.31,1190.11,1191.3,1192.3,1193.5,1193.69,1195,2.06958,1.105,1.2,1.03541,1.2,0.885,1.8,1.98,4.86,1.97,2017-04-07D00:12:48.369618000,2017-04-07D00:11:38.784439000,1
84,1191.3,0.23,1191.29,1190.91,1190.7,1190.31,1190.01,1191.3,1192.3,1193.5,1193.69,1195,2.06958,1.2,1.105,1.03541,1.03541,0.885,1.8,1.98,4.86,1.97,2017-04-07D00:13:01.289390000,2017-04-07D00:11:38.784439000,1
85,1191.3,0.23,1191.29,1190.91,1190.7,1190.59,1190.31,1191.3,1192.3,1193.5,1193.69,1195,2.06958,1.2,1.105,1.2,1.03541,0.885,1.8,1.98,4.86,1.97,2017-04-07D00:13:02.365608000,2017-04-07D00:11:38.784439000,1
86,1191.3,0.23,1191.29,1190.91,1190.7,1190.59,1190.31,1191.3,1192.3,1193.5,1195,1195.3,2.06958,1.2,1.105,1.2,1.03541,0.885,1.8,1.98,1.97,1.03479,2017-04-07D00:13:35.738601000,2017-04-07D00:11:38.784439000,1
87,1191.3,0.23,1191.29,1190.91,1190.7,1190.59,1190.31,1191.3,1192.3,1193.5,1194.89,1195,2.06958,1.2,1.105,1.2,1.03541,0.885,1.8,1.98,4.75,1.97,2017-04-07D00:13:50.080029000,2017-04-07D00:11:38.784439000,1
88,1191.3,0.23,1191.29,1190.91,1190.7,1190.59,1190.31,1191.3,1192.3,1193.5,1195,1195.3,2.06958,1.2,1.105,1.2,1.03541,0.885,1.8,1.98,1.97,1.03479,2017-04-07D00:13:54.508069000,2017-04-07D00:11:38.784439000,1
89,1191.3,0.23,1191.29,1190.91,1190.7,1190.59,1190.31,1191.3,1192.3,1193.5,1195,1195.7,2.06958,1.2,1.105,1.2,1.03541,0.885,1.8,1.98,1.97,2.49779,2017-04-07D00:13:56.603529000,2017-04-07D00:11:38.784439000,1
90,1191.3,0.23,1191.29,1190.91,1190.7,1190.59,1190.14,1191.3,1192.3,1193.5,1195,1195.7,3.10367,1.2,1.105,1.2,1.2,0.885,1.8,1.98,1.97,1.463,2017-04-07D00:13:58.474179000,2017-04-07D00:11:38.784439000,1
91,1191.3,0.23,1191.29,1190.91,1190.7,1190.59,1190.14,1191.3,1192.3,1193.5,1195,1195.19,4.13751,1.2,1.105,1.2,1.2,0.885,1.8,1.98,1.97,4.47,2017-04-07D00:14:06.762782000,2017-04-07D00:11:38.784439000,1
